Cores,Resolution,Epoch,Time
16,T42,1,262.57721161842346
16,T42,2,262.9830102920532
16,T42,3,262.61892533302307
16,T42,4,264.1557443141937
16,T42,5,263.036062002182
16,T42,6,263.74482011795044
16,T42,7,266.4929828643799
16,T42,8,264.50545358657837
16,T42,9,265.6348035335541
16,T42,10,265.1350607872009
16,T42,11,263.8104546070099
16,T42,12,265.05669140815735
16,T42,13,263.5139021873474
16,T42,14,264.2230348587036
16,T42,15,262.84031343460083
16,T42,16,262.9954252243042
16,T42,17,263.1644809246063
16,T42,18,263.30887389183044
16,T42,19,265.2791793346405
16,T42,20,265.6634805202484
16,T42,21,267.0342047214508
16,T42,22,266.80178713798523
16,T42,Total,5815.225954771042